case	model	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.1.self_attn.qkv_proj.weight	4	0.291162	72.790	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.10.mlp.down_proj.weight	4	0.255042	63.761	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.10.mlp.gate_up_proj.weight	4	0.334250	83.562	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.10.self_attn.o_proj.weight	4	0.326870	81.718	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.10.self_attn.qkv_proj.weight	4	0.281441	70.360	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.11.mlp.down_proj.weight	4	0.258393	64.598	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.11.mlp.gate_up_proj.weight	4	0.329810	82.453	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.11.self_attn.o_proj.weight	4	0.342789	85.697	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.11.self_attn.qkv_proj.weight	4	0.282851	70.713	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.12.mlp.down_proj.weight	4	0.255343	63.836	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.12.mlp.gate_up_proj.weight	4	0.332601	83.150	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.12.self_attn.o_proj.weight	4	0.324210	81.052	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.12.self_attn.qkv_proj.weight	4	0.281772	70.443	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.13.mlp.down_proj.weight	4	0.257422	64.355	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.13.mlp.gate_up_proj.weight	4	0.330181	82.545	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.13.self_attn.o_proj.weight	4	0.348910	87.228	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.13.self_attn.qkv_proj.weight	4	0.285252	71.313	[1x1x1024]	[4096x128]	1
