case	model	run	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len	log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.21.linear_attn.in_proj_qkv_z_ba.weight	4	0.397168	99.292	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.21.linear_attn.out_proj.weight	4	0.463737	115.934	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.21.mlp.down_proj.weight	4	0.269142	67.2855	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.21.mlp.gate_up_proj.weight	4	0.339081	84.7703	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.22.linear_attn.in_proj_qkv_z_ba.weight	4	0.395878	98.9695	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.22.linear_attn.out_proj.weight	4	0.464677	116.169	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.22.mlp.down_proj.weight	4	0.272032	68.008	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.22.mlp.gate_up_proj.weight	4	0.339921	84.9802	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.23.mlp.down_proj.weight	4	0.284172	71.043	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.23.mlp.gate_up_proj.weight	4	0.35467	88.6675	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.23.self_attn.o_proj.weight	4	0.393769	98.4423	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.23.self_attn.qkv_proj.weight	4	0.300552	75.138	[1x1x1024]	[5120x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.3.mlp.down_proj.weight	4	0.275541	68.8852	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.3.mlp.gate_up_proj.weight	4	0.340078	85.0195	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.3.self_attn.o_proj.weight	4	0.397028	99.257	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.3.self_attn.qkv_proj.weight	4	0.298922	74.7305	[1x1x1024]	[5120x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.4.linear_attn.in_proj_qkv_z_ba.weight	4	0.394338	98.5845	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.4.linear_attn.out_proj.weight	4	0.467937	116.984	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.4.mlp.down_proj.weight	4	0.274512	68.628	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.4.mlp.gate_up_proj.weight	4	0.34258	85.645	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
